CodCarrera|CodMateria|Requisito
1|274|252
1|276|248
1|277|247
1|279|276
1|452|252
1|457|277
1|651|1275
1|655|1653
1|657|651
1|658|1275
1|740|655
1|1601|1275
1|1604|1603
1|1652|651
1|1653|1275
1|1654|1652
1|1659|657
1|1659|658
1|1660|740
1|1660|1654
1|1799|1601
1|1799|1659
2|273|1359
2|274|252
2|275|274
2|276|248
2|279|276
2|351|247
2|353|247
2|354|251
2|354|1359
2|355|362
2|355|1352
2|356|251
2|356|1352
2|357|356
2|362|353
2|1330|1352
2|1352|351
2|1352|353
2|1360|273
2|1360|354
2|1374|278
2|1374|1352
2|1358|355
2|1358|1360
2|1361|273
2|1361|279
2|1361|355
2|1361|1330
3|248|241
3|249|242
3|249|244
3|249|246
3|250|241
3|250|242
3|274|252
3|275|274
3|276|248
3|277|247
3|278|250
3|279|252
3|279|276
3|451|248
3|451|274
3|451|275
3|452|243
3|452|244
3|452|252
3|453|252
3|453|276
3|454|273
3|454|452
3|455|273
3|455|277
3|455|278
3|456|277
3|456|279
3|456|453
3|456|454
3|457|277
3|457|451
3|458|457
3|459|279
3|459|453
3|459|454
3|459|456
3|459|457
3|460|456
3|460|457
4|248|241
4|249|242
4|249|244
4|249|246
4|262|241
4|262|242
4|284|241
4|284|245
4|283|262
4|283|288
4|285|248
4|285|284
4|286|288
4|286|290
4|287|249
4|288|284
4|289|244
4|289|262
4|289|290
4|290|242
4|290|284
4|551|285
4|551|288
4|552|283
4|552|286
4|552|288
4|553|243
4|553|244
4|553|262
4|553|290
4|554|283
4|554|286
4|554|288
4|555|286
4|556|261
4|556|290
4|557|243
4|557|249
4|557|561
4|558|283
4|558|287
4|558|290
4|559|557
4|559|560
4|560|287
4|560|561
4|561|247
4|561|262
4|562|286
4|562|289
4|562|551
4|562|558
5|248|241
5|249|242
5|249|244
5|249|246
5|250|241
5|250|242
5|274|252
5|275|274
5|276|248
5|277|247
5|278|250
5|279|252
5|279|276
5|284|241
5|284|245
5|285|248
5|285|284
5|288|284
5|552|278
5|552|288
5|751|285
5|751|288
5|752|288
5|753|276
5|753|751
5|753|752
5|754|753
5|755|276
5|755|751
5|755|752
5|756|754
5|757|754
5|757|755
5|758|276
5|758|751
5|759|754
5|759|755
5|759|756
5|759|757
5|759|758
6|248|241
6|249|242
6|249|244
6|249|246
6|262|241
6|262|242
6|284|241
6|284|245
6|276|248
6|279|262
6|279|276
6|283|262
6|283|288
6|285|248
6|285|284
6|286|284
6|286|290
6|287|249
6|288|284
6|289|244
6|289|262
6|289|290
6|290|242
6|290|284
6|552|283
6|552|286
6|552|288
6|751|285
6|752|288
6|753|276
6|753|751
6|753|752
6|754|753
6|755|276
6|755|751
6|755|752
6|756|754
6|757|754
6|757|755
6|758|276
6|758|751
6|759|754
6|759|755
6|759|756
6|759|757
6|759|758
