CodMateria|CodCurso|NombreMateria|Titular|Docente|Dias|Horario|Sede
252|1|Administración General|Bonatti, Patricia|Oliverio, Emmannuel|Ma-Vie|17a19|Avellaneda
252|14|Administración General|Etkin, Jorge Ricardo|Quiroga, Roberto|Lu-Jue|11a13|Paternal
274|1|Sistemas Administrativos|Gilli, Juan José|Torres, Fernando|Lu-Jue|09a11|Córdoba
274|2|Sistemas Administrativos|Gómez Fulao, Juan Carlos|Barrientos, Jorge|Ma-Vie|19a21|Córdoba
279|8|Administración Financiera|Albornoz, César|De Jesús, Mauro|Ma-Vie-Sa|17a19|Códoba
279|16|Administración Financiera|Fernández, Heriberto|Fernández, Heriberto|Lu-Mie-Jue|07a09|Avellaneda
453|3|Administración de la Producción|Depto. de Administración|Sánchez, Lorena|Lu-Mie-Jue|17a19|Avellaneda
453|7|Administración de la Producción|Depto. de Administración|Palazzolo, Agustina|Ma-Vie-Sa|09a11|Córdoba
454|1|Administración del Personal|Huber, Ladislao|Bianchi, Liliana|Lu-Mie-Jue|07a09|Córdoba
454|5|Administración del Personal|Mazza, Roberto|Moreno, Claudio|Ma-Vie-Sa|19a21|Córdoba
456|1|Comercialización|Barmat, Rubén|Erdellan, Claudio|Lu-Mie-Jue|09a11|Córdoba
456|7|Comercialización|Pogliano, Martín|Baldomar, Juan|Ma-Vie-Sa|07a09|Paternal
457|2|Teoría de la Decisión|Avenburg, Daniel|Cadaval, Hebe|Lu-Mie-Jue|09a11|Córdoba
457|4|Teoría de la Decisión|Avenburg, Daniel|Asz, Mariano|Ma-Vie-Sa|07a09|Córdoba
458|1|Pleaneamiento a Largo Plazo|Cammarota, Estela|Aguirre, David|Lu-Jue|17a19|Córdoba
458|2|Pleaneamiento a Largo Plazo|Serra, Rafael|Gigante, Vanina|Lu-Jue|17a19|Córdoba
459|1|Dirección General|Bonatti, Patricia|Brizuela, Lucas|Ma-Mie-Sa|19a21|Córdoba
